id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors
7129300520,20141013T000000,221900,3,1,1180,5650,1
6414100192,20141209T000000,538000,3,2.25,2570,7242,2
5631500400,20150225T000000,180000,2,1,770,10000,1
2487200875,20141209T000000,604000,4,3,1960,5000,1
1954400510,20150218T000000,510000,3,2,1680,8080,1
7237550310,20140512T000000,1225000,4,4.5,5420,101930,1
1321400060,20140627T000000,257500,3,2.25,1715,6819,2
2008000270,20150115T000000,291850,3,1.5,1060,9711,1
2414600126,20150415T000000,229500,3,1,1780,7470,1
3793500160,20150312T000000,323000,3,2.5,1890,6560,2
1736800520,20150403T000000,662500,3,2.5,3560,9796,1
9212900260,20140527T000000,468000,2,1,1160,6000,1
114101516,20140528T000000,310000,3,1,1430,19901,1.5
6054650070,20141007T000000,400000,3,1.75,1370,9680,1
1175000570,20150312T000000,530000,5,2,1810,4850,1.5
9297300055,20150124T000000,650000,4,3,2950,5000,2
1875500060,20140731T000000,395000,3,2,1890,14040,2
6865200140,20140529T000000,485000,4,1,1600,4300,1.5
16000397,20141205T000000,189000,2,1,1200,9850,1
